Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
1000 WATTS LLLC,170701068,Markham,4,128003.2,114676.61,13326.59,55326,41999.25,13326.75,3998.16,3331.82,666.34
107 IROQUOIS ST LLC,120700459,East Cape Girardeau,5,3916050.2,3593934.94,322115.26,936475,614359.74,322115.26,96635.14,80529.29,16105.85
"109 South, Inc.",170701206,Bethalto,4,1830974.33,1696550.34,134423.99,521871,387447.01,134423.99,40327.67,33606.43,6721.24
11508 BIG FOOT CORPORATION,130702713,McHenry County,5,2496834.75,2306225.41,190609.34,806046,615436.64,190609.36,57183.26,47652.76,9530.5
12 STRIKE LLC,120705071,Iroquois,2,303033.96,281187.42,21846.54,82880,61033.46,21846.54,6554.03,5461.69,1092.34
"129 Warren, Inc.",130704752,Bunker Hill,5,1428719.45,1325982.91,102736.54,454837,352099.83,102737.17,30821.75,25684.8,5136.95
"1319 Central Park, L.L.C.",120701994,O'Fallon,5,4221480.46,3926229.33,295251.13,1263744,968492.87,295251.13,88576.17,73813.53,14762.64
"14136 LOUNGE, INC.",140702360,Dolton,4,1880898.48,1726732.62,154165.86,574808,420642.14,154165.86,46250.53,38542.12,7708.41
"1443-45 INVESTMENTS, LLC",160703973,Lemont,3,1297555.37,1191056.02,106499.35,371945,265445.65,106499.35,31950.3,26625.25,5325.05
"159TH AND CRAWFORD BUSINESS, INC.",180700786,Markham,5,297686.97,266424.56,31262.41,124179,92916.59,31262.41,9378.84,7815.7,1563.14
"164 South Route 12, Inc.",120704539,Fox Lake,4,1415491.58,1303575.12,111916.46,489584,377667.45,111916.55,33575.4,27979.51,5595.89
"16th Street Liquors, INC.",120707310,Berwyn,5,3832400.55,3555648.75,276751.8,1234270,957518.2,276751.8,83026.36,69188.66,13837.7
"17 North, LLC",120712727,Waukegan,5,2921649.89,2671605.81,250044.08,999764,749719.91,250044.09,75013.96,62511.66,12502.3
171 On Main Inc.,120702121,Herscher,5,1660951.96,1518852.25,142099.71,587312,445212.29,142099.71,42630.48,35525.42,7105.06
1715 INC.,120712777,Broadview,5,3037729.67,2772712.1,265017.57,956366,691348.39,265017.61,79505.94,66254.97,13250.97
"1807 Partners, Inc.",150704028,Melrose Park,5,165644.71,153228.23,12416.48,52142,39725.52,12416.48,3724.97,3104.15,620.82
"1st Avenue Pub, LLC",160701748,Monmouth,5,4093936.16,3711734.88,382201.28,1332380,950107.64,382272.36,114682.3,95568.62,19113.68
2 Bad Boyz LLC,120709508,Moline,5,1377667.47,1266949.91,110717.56,428209,317491.44,110717.56,33215.6,27679.67,5535.93
"2 COYOTES, LLC",160702250,Grayville,4,297163.09,273910.49,23252.6,91122,67869.4,23252.6,6975.91,5813.26,1162.65
"2 Mick's, Inc.",160704203,Forest Park,1,20764.17,18621.98,2142.19,9458,7315.81,2142.19,642.7,535.59,107.11
"2 Sisters Bars, Corp.",120700569,Oak Forest,5,5350792.49,4941265.3,409527.19,1692515,1282987.11,409527.89,122858.95,102382.49,20476.46
2-D CORPORATION,120703211,Loves Park,5,4387390.69,4039057.47,348333.22,1311896,963562.73,348333.27,104500.82,87084.06,17416.76
"2-FER'S Pizza & Pub, LLC",130703750,Minooka,5,2958147.89,2709694.35,248453.54,900221,651767.62,248453.38,74536.29,62113.59,12422.7
"20'S HIDEOUT RESTAURANT, LLC",140701334,Marion,5,835637.74,767266.41,68371.33,306399,238027.67,68371.33,20512.1,17093.4,3418.7
"2000 Meadows Avenue Tap, Inc.",120703489,East Peoria,5,5887052.6,5380450.54,506602.06,1897289,1390686.94,506602.06,151981.38,126651.16,25330.22
2020 Brits Street SG LLC,180701544,Spring Grove,5,15111.3,13966.46,1144.84,5786,4641.16,1144.84,343.45,286.21,57.24
"219 Sports Bar, LLC",120708201,Waukegan,5,6576980.05,6054740.42,522239.63,2218796,1696556.3,522239.7,156672.51,130560.45,26112.06
"219 VENTURES, LLC",170701365,Freeport,5,1447636.85,1341049.66,106587.19,479598,373010.59,106587.41,31976.38,26647.02,5329.36
"220 N. RANDALL RD, INC.",120700784,Lake In the Hills,5,5049205.64,4609608.14,439597.5,1747888,1308290.5,439597.5,131879.94,109899.98,21979.96
2266 S. Sixth LLC,160702619,Springfield,3,18824.42,17398.17,1426.25,6307,4880.75,1426.25,427.91,356.6,71.31
"2475 W. Higgins Road, Inc.",140703478,Hoffman Estates,5,3527068.14,3213146.79,313921.35,1215765,901843.65,313921.35,94177.15,78481,15696.15
"251 Pub, Inc.",150701038,Lake In the Hills,5,4086578.54,3776745.93,309832.61,1335113,1025280.64,309832.36,92950.42,77458.71,15491.71
"2520 PG, Inc.",160702010,Prairie Grove,5,5045717.26,4657374.39,388342.87,1734379,1346036.13,388342.87,116503.49,97086.24,19417.25
"2525 West Higgins Road, Inc.",140703117,Hoffman Estates,1,252013.62,226043.26,25970.36,84932,58961.64,25970.36,7791.27,6492.76,1298.51
255 Group Ltd.,130705250,Aurora,5,2739533.56,2537155.26,202378.3,797291,594912.7,202378.3,60714.01,50594.99,10119.02
"25TH ALLEY LOUNGE, INC.",120709211,Round Lake,5,3209132.15,2917794.29,291337.86,1082987,791649.14,291337.86,87401.98,72835,14566.98
"27 Irving Park, LLC",140703638,Schiller Park,5,4644480.45,4275753.69,368726.76,1294910,926183.24,368726.76,110618.63,92182.19,18436.44
280 MATTINA INC.,170700401,New Lenox,5,763350.75,696494.26,66856.49,267440,200583.51,66856.49,20057.38,16714.51,3342.87
2867 CORPORATION,120702167,Morrison,5,1213026.81,1118594.68,94432.13,407783,313350.87,94432.13,28330.68,23608.92,4721.76
2SALESGUYS LLC,160704045,Windsor (Shelby),5,1580423.46,1457683.84,122739.62,565502,442762.43,122739.57,36822.38,30685.34,6137.04
2SALESGUYS LLC,150702987,Effingham,5,3072780.17,2779391.4,293388.77,1066422,773033.23,293388.77,88017.14,73347.64,14669.5
"3 CORNERS, INC.",140704443,Lemont,5,108344.02,96395.63,11948.39,37007,25058.59,11948.41,3584.66,2987.22,597.44
"3 Gam's, Inc.",120711569,Stonington,4,1352662.67,1248231.95,104430.72,407174,302742.73,104431.27,31329.94,26108.31,5221.63
3 MONKEYS INC.,120700672,South Chicago Heights,4,2310118.4,2117975.19,192143.21,868045,675901.94,192143.06,57643.31,48036.12,9607.19
3 Queens Inc.,160703292,McHenry,5,7681945.85,7034896.72,647049.13,2389709,1742587.77,647121.23,194136.95,161780.81,32356.14
"3's COMPANY, LTD",150702175,West Brooklyn,4,1264051.24,1162020.84,102030.4,437473,335442.85,102030.15,30609.4,25507.85,5101.55
"305 Madison Inc.,",180701489,Lebanon,4,11701.83,9551.44,2150.39,5093,2942.61,2150.39,645.17,537.64,107.53
"308 MacArthur, Inc.",120702279,Madison County,5,5351434.39,4955625.87,395808.52,1555623,1159789.45,395833.55,118750.63,98958.89,19791.74
312 Corporation,130705111,Oswego,5,4066792.12,3733070.08,333722.04,1340787,1007065.27,333721.73,100117.06,83430.89,16686.17
"32 Below, Inc.",150702369,Strasburg,4,1592999.69,1463941.24,129058.45,481292,352233.55,129058.45,38717.91,32264.95,6452.96
"35 Years, LLC Landmark",150700815,Normal,5,4049959.93,3718456.83,331503.1,1638678,1307174.9,331503.1,99451.56,82876.3,16575.26
"35 Years, LLC Patriot Center",150700817,Normal,5,4312575.93,3928270.52,384305.41,1471838,1087532.59,384305.41,115292.09,96076.75,19215.34
"36 N. Genesee, LLC",160701747,Waukegan,5,2510927.69,2318841.99,192085.7,822591,630504.94,192086.06,57626.39,48022.01,9604.38
"3D OF CRYSTAL LAKE, CORPORATION",160701341,Crystal Lake,3,736635.72,676225.3,60410.42,230997,170586.58,60410.42,18123.47,15102.9,3020.57
3RD BASE LLC,120712649,Greene County,3,396385.14,357610.72,38774.42,132832,94057.55,38774.45,11632.79,9693.99,1938.8
4 Cozy JS Inc.,170700564,Robbins,5,449471.04,402602.83,46868.21,183285,136416.79,46868.21,14060.62,11717.19,2343.43
"4 J'S OF ILLINOIS, INC.",130701425,Ipava,3,986101.34,895665.29,90436.05,256129,165692.95,90436.05,27131.25,22609.35,4521.9
"4 Play Pub N' Grub, LLC",130704518,Lake County,4,2215563.8,2049216.44,166347.36,690816,524468.62,166347.38,49904.88,41587.39,8317.49
4 T's Inc.,160703266,Valmeyer,3,524713.5,489165.08,35548.42,162835,127286.56,35548.44,10619.59,8849.65,1769.94
"4-WAY STOP, INC.",120703515,Villa Grove,5,2420495.65,2215249.91,205245.74,816861,611614.93,205246.07,61574.26,51311.91,10262.35
"411 EAST, INCORPORATED",160702790,Springfield,5,1501284.74,1384922.64,116362.1,413269,296907.15,116361.85,34909.04,29090.89,5818.15
"45 SOUTH, INC.",130704549,Neoga,5,2445085.06,2253394.81,191690.25,791207,599516.7,191690.3,57507.63,47923.03,9584.6
451 Commons Co.,180700991,Aurora,4,27427.32,23943.04,3484.28,9033,5548.72,3484.28,1045.35,871.12,174.23
459 Randall Crossings Co.,150701461,North Aurora,4,2448844.2,2264864.87,183979.33,773581,589601.8,183979.2,55194.19,45995.18,9199.01
4841 BUTTERFIELD CORPORATION,120705102,Hillside,3,2449227.98,2252260.7,196967.28,780365,583397.62,196967.38,59090.4,49242.04,9848.36
4900 W. 31st Street Corporation,170704132,Cicero,5,1287039.16,1174987.09,112052.07,421315,309262.93,112052.07,33616.11,28013.41,5602.7
"4ME, INC.",160701975,Vermilion County,5,7459536.53,6954320.5,505216.03,1981488,1476271.97,505216.03,151565.3,126304.41,25260.89
"4ME, Inc.",170700438,Champaign County,5,6038087.44,5571150.15,466937.29,2006933,1539995.71,466937.29,140081.55,116734.65,23346.9
"4ME, Inc.",170701117,Vermilion County,5,1888177.27,1743244.15,144933.12,619338,474404.88,144933.12,43480.34,36233.62,7246.72
"4th & Goal Grill, LLC",160701185,Washington,5,760146.16,699071.56,61074.6,249303,188228.63,61074.37,18322.83,15269.04,3053.79
51/50 Saloon Inc.,160700735,Sandoval,5,1286957.63,1190164.59,96793.04,383094,286300.71,96793.29,29038.39,24198.65,4839.74
"510 S. Park, Corp.",120704528,Fox Lake,4,658203.31,600996.96,57206.35,223460,166253.62,57206.38,17162.08,14301.74,2860.34
516 First Street Corp.,140703417,La Salle,3,85601.04,77931.57,7669.47,30584,22914.53,7669.47,2300.9,1917.41,383.49
"525 GRILL & BAR, INC.",120705512,Chicago Heights,5,5618198.05,5145214.79,472983.26,1894275,1421290.94,472984.06,141895.76,118246.45,23649.31
5436 S. HARLEM LLC.,130703962,Summit,5,1726522.34,1575696.73,150825.61,568580,417754.29,150825.71,45248.51,37707.11,7541.4
5800 Corporation,180700149,Cicero,4,478005.02,444407.16,33597.86,167697,134099.14,33597.86,10079.43,8399.53,1679.9
5th Quarter Pub & Grill LLC,170700611,Collinsville,5,1056683.8,969593.23,87090.57,334365,247274.35,87090.65,26127.83,21773.22,4354.61
"5th Street Billiards Bar and Grill, LLC",140704182,Dupo,5,2644181.87,2458017.1,186164.77,720278,534112.98,186165.02,55850.17,46541.83,9308.34
602604 LLC,150700582,Bloomington,2,27121.65,23542.87,3578.78,10079,6500.22,3578.78,1073.65,894.7,178.95
625 St Joseph LLC,170700807,Southern View,5,1340307.4,1239610.63,100696.77,526408,425711.23,100696.77,30209.59,25174.67,5034.92
"629 MAIN, INC.",140701683,Peoria,5,1877789.45,1723928.29,153861.16,616413,462551.84,153861.16,46158.88,38465.75,7693.13
"6415 DEMPSTER ST., INC.",180700345,Morton Grove,5,454672.03,413977.74,40694.29,173305,132610.69,40694.31,12208.46,10173.73,2034.73
"7 Days Market & Restaurant, Inc.",150701214,Johnsburg,5,566805.98,511953.37,54852.61,208003,153150.15,54852.85,16456.32,13713.61,2742.71
7 Days Pantry N Deli Inc.,170703712,Indian Head Park,5,1926201.63,1766347.15,159854.48,546513,386658.52,159854.48,47956.51,39963.78,7992.73
"709 Cut-Rate Package Liquors, Inc.",130704673,Sangamon County,5,5004674.79,4631481.55,373193.24,2042550,1669356.76,373193.24,111958.55,93298.82,18659.73
"722 Bonner, LLC",120701453,Wauconda,5,2813881.94,2596791.86,217090.08,951353,734262.92,217090.08,65127.61,54273.02,10854.59
728 INC.,120702095,Winthrop Harbor,4,2541697.7,2322011.18,219686.52,787598,567911.25,219686.75,65906.55,54922.15,10984.4
7300 Diversey Corp.,120712092,Elmwood Park,5,4460301.18,4099475.48,360825.7,1560768,1199942.3,360825.7,108248.13,90206.8,18041.33
7316 CIRCLE CORPORATION,160703750,Forest Park,4,870991.74,792985.7,78006.04,280547,202399.69,78147.31,23444.55,19537.13,3907.42
"750 Cucina Rustica, LLC",160703129,Cary,5,1992451.41,1842808.88,149642.53,478329,328686.28,149642.72,44893.74,37411.49,7482.25
"7513 West Madison Street, Inc.",160703804,Forest Park,5,2833344.17,2578121.22,255222.95,1212093,956870.05,255222.95,76567.84,63806.56,12761.28
"801 North River Road, Inc.",130702849,McHenry County,4,1706899.79,1559824.69,147075.1,626183,479108.6,147074.4,44122.93,36769.15,7353.78
"804 ENTERPRISES, LLC",120711985,Woodstock,5,2760686.96,2542314.04,218372.92,964410,746036.9,218373.1,65512.45,54593.73,10918.72
"88 Bar & Grill, L.L.C.",130704521,Beardstown,5,2033788.23,1882037.26,151750.97,608001,456250.03,151750.97,45525.94,37938.29,7587.65
888 ENTERTAINMENT INC.,180700784,Schiller Park,5,58646.84,49601.85,9044.99,24572,15527.01,9044.99,2713.53,2261.28,452.25
92 East Inc.,120707137,Fox Lake,5,4080646.21,3776997.01,303649.2,1046541,742891.8,303649.2,91095.45,75912.92,15182.53
9247 Corp.,120702148,Oak Lawn,5,3494277.47,3219596.85,274680.62,1057339,782658.37,274680.63,82404.74,68670.64,13734.1
"96ERS, INC.",120701392,Crete,5,2601871.43,2397021.41,204850.02,850719,645868.81,204850.19,61455.72,51213.14,10242.58
"A & A KINNARD, INC.",130703428,Cahokia,5,2034338.09,1873592.98,160745.11,655347,494601.89,160745.11,48224.35,40186.98,8037.37
A & B Gaming LLC,140703665,Belvidere,5,5582128.84,5062448.81,519680.03,1696793,1177112.92,519680.08,155905.06,129920.9,25984.16
"A & B Marketing, Inc.",171002435,Forreston,3,488734.56,445074.29,43660.27,160203,116542.72,43660.28,13098.24,10915.2,2183.04
A & F LTD.,130700204,Carlinville,5,1093885.76,991653.95,102231.81,312406,210174.19,102231.81,30669.94,25558.3,5111.64
A & F LTD.,130700209,Chesterfield,5,1132649.62,1021137.27,111512.35,306059,194546.65,111512.35,33454.08,27878.41,5575.67
A & F LTD.,170703968,Carlinville,5,898792.59,817279.55,81513.04,304422,222908.96,81513.04,24454.11,20378.42,4075.69
"A & M's Broadway, Inc.",120700142,Central City,5,1501918.75,1397718.34,104200.41,454872,350571.49,104300.51,31290.52,26075.44,5215.08
A & P Hospitality of Illinois LLC,150701151,Calumet Park,5,6438171.37,5880976.51,557194.86,2444488,1887273.28,557214.72,167164.88,139304.13,27860.75
"A & S Enterprises of Illinois, LLC",121010810,Carmi,5,7057472.69,6547484.93,509987.76,1768121,1258134.37,509986.63,152996.33,127496.97,25499.36
A & S Unlimited Inc.,150701191,La Salle County,5,3108988.8,2854268.76,254720.04,950895,696174.97,254720.03,76416.74,63680.65,12736.09
A G P 18 INCORPORATED,150704443,Belvidere,5,3122306.44,2875145.25,247161.19,1047162,800000.81,247161.19,74148.89,61790.79,12358.1
A K ENTERPRISES OF RICHMOND INC.,150702279,Richmond,5,4730490.88,4374521.17,355969.71,1483620,1127650.17,355969.83,106791.64,88993.05,17798.59
A K LIQUORS INC.,180701414,Wilmington (Will),5,21054.02,19056.69,1997.33,7132,5134.47,1997.53,599.29,499.41,99.88
"A Pizza History, LLC",170701961,Lexington,3,144875.02,133691.9,11183.12,51814,40630.88,11183.12,3355.15,2795.95,559.2
A Segura LLC,160701785,Kewanee,4,1054529.46,968091.84,86437.62,344171,257733.38,86437.62,25931.93,21609.96,4321.97
A&A CHAPIN INC.,170703692,Chapin,5,686428.78,631582.43,54846.35,213370,158523.4,54846.6,16454.18,13711.83,2742.35
"A&J Restaurant Enterprises, Inc.",160703255,Ogle County,4,1084288.67,993196.57,91092.1,329756,238663.73,91092.27,27328.04,22773.4,4554.64
"A&R Gaming, LLC",160704227,East Alton,5,6077739.86,5630862.34,446877.52,1688762,1241884.28,446877.72,134063.86,111719.9,22343.96
A'Salute' Inc.,160702452,St. Charles,2,819811.19,757857.46,61953.73,210918,148964.27,61953.73,18586.25,15488.54,3097.71
"A. C. FOX, INC.",160701112,Oak Lawn,5,2124175.85,1947141.13,177034.72,739787,562752.32,177034.68,53110.89,44259.08,8851.81
"A. C. Pitstop, Inc.",120702284,Walnut Hill,5,2425924.92,2228794.7,197130.22,732021,534890.68,197130.32,59139.7,49283.11,9856.59
"A.A.A. M & V, Inc.",130703265,Roscoe,5,13567703.34,12457947.44,1109755.9,3888540,2778870.89,1109669.11,332901.4,277417.87,55483.53
"A.A.A.M & V, Inc.",140702586,Roscoe,5,10196558.11,9388686.06,807872.05,3105818,2297861.64,807956.36,242387.63,201989.73,40397.9
"A.B.E., INC.",121001285,Thomson,4,2178370.83,2003523.95,174846.88,581219,406370.1,174848.9,52455.28,43712.77,8742.51
"A.C. Hicks, Inc.",140700193,Nelson,4,1913520.03,1745071.85,168448.18,598568,430119.62,168448.38,50535.09,42112.58,8422.51
"A.J.'s Lounge of Benson, Inc.",120707733,Benson,4,2133499.58,1998502.06,134997.52,601744,466746.48,134997.52,40499.58,33749.68,6749.9
"A.J.C. Georges, Inc.",120709885,Countryside,5,2651955.8,2434985.89,216969.91,868907,651937.09,216969.91,65091.7,54243.11,10848.59
"A.K.A. HEATING & COOLING, INC.",170701600,Forest Park,3,98313.8,86939.75,11374.05,37960,26585.95,11374.05,3412.39,2843.66,568.73
A.P.W. Inc.,140703778,West Peoria,3,995553.55,927033.84,68519.71,326196,257676.29,68519.71,20556.16,17130.14,3426.02
A.S.GIAN CORPORATION,160701115,Rochelle,5,1543052.89,1422021.44,121031.45,593664,472632.59,121031.41,36309.8,30258.21,6051.59
AARAV1121 Inc.,160703894,Pekin,5,4061257.26,3753755.51,307501.75,1116116,808614.2,307501.8,92251.11,76875.93,15375.18
Aaron B Hicks,120706185,Warren,2,469766.48,430340.75,39425.73,133302,93876.27,39425.73,11827.82,9856.5,1971.32
Aaron Summers,180700633,Norris City,3,75387.59,65871.15,9516.44,27110,17593.56,9516.44,2854.97,2379.15,475.82
"ABAGAIL, INC.",180700796,Clinton,5,239213.86,221159.76,18054.1,86509,68454.9,18054.1,5416.41,4513.69,902.72
"ABBE LANES BOWLING CENTER, INC.",120704413,Galesburg,5,2417164.65,2213445.56,203719.09,753011,549291.96,203719.04,61116.32,50930.3,10186.02
"ABE'S HIDEOUT, LLC",160700677,Mechanicsburg,3,699433.13,647448.08,51985.05,241239,189253.95,51985.05,15595.89,12996.56,2599.33
ABEL LLC,170704283,Mount Olive,5,166406.27,149422.2,16984.07,58336,41351.93,16984.07,5095.39,4246.16,849.23
ABEL LLC,150701791,Taylor Springs,4,595405.51,542907.53,52497.98,191622,139124.02,52497.98,15749.69,13124.75,2624.94
"ABRUZZO'S DIVISION LOUNGE AND ITALIAN RESTAURANT, INC.",130700290,Melrose Park,4,884548.57,812275.72,72272.85,263799,191526.15,72272.85,21682.18,18068.52,3613.66
"Accelerate Indoor Speedway Chicago, LLC",170702336,Mokena,5,442064.23,409074.1,32990.13,169728,136737.72,32990.28,9897.47,8247.89,1649.58
ACCS Restaurants Columbia LLC,120705277,Columbia,5,3020172.03,2763279.85,256892.18,889919,633026.82,256892.18,77068.05,64223.39,12844.66
"Acees, Inc.",141001836,Dongola,4,2302148.65,2096972.29,205176.36,638401,433224.77,205176.23,61553.58,51294.69,10258.89
"Acees, Inc.",121004486,Metropolis,5,18050316.07,16640624.41,1409691.66,4572220,3162951.14,1409268.86,422781.44,352317.89,70463.55
"Acees, Inc.",141001879,Vienna,4,2513119.49,2295164.33,217955.16,656401,438445.84,217955.16,65387.06,54489.24,10897.82
"Aces and Eights, Inc.",170701231,Tonica,4,1313875.49,1227927.01,85948.48,427726,341777.52,85948.48,25784.81,21487.36,4297.45
"Ach-N-Lou's Pizza Pub, Inc.",130706356,Aurora,3,873551.87,806014.66,67537.21,225329,157791.64,67537.36,20261.68,16884.73,3376.95
Achille Foster,160700778,Decatur,5,4549728.49,4170087.61,379640.88,1678068,1298426.97,379641.03,113892.82,94910.7,18982.12
Across The Border LLC,160700590,Melrose Park,4,1686853.04,1546422.92,140430.12,546316,405885.88,140430.12,42129.67,35108.1,7021.57
"ACSWISS, INC.",130702608,Union,4,777154.04,709659.1,67494.94,253216,185721.06,67494.94,20248.93,16874.12,3374.81
"ACTION BILLIARDS, INC.",130701767,Darien,5,7220353.37,6636339.97,584013.4,2302957,1718943.6,584013.4,175204.71,146003.94,29200.77
"Adam Harris, Inc.",120705648,Granite City,5,6037424.5,5588505.26,448919.24,1508476,1059556.76,448919.24,134676.32,112230.28,22446.04
ADAMS COUNTY AMVETS POST NO. 76 INC.,140903973,Ursa,2,334752.76,309552.5,25200.26,80198,54997.43,25200.57,7560.21,6300.17,1260.04
"ADCD, Inc.",120700736,Mineral,5,2763752.84,2551443.51,212309.33,999853,787543.52,212309.48,63693.29,53077.75,10615.54
Addison and Clark's Bar and Grill Inc.,170702708,Beach Park,5,393844.57,359289.27,34555.3,122433,87877.7,34555.3,10366.86,8639.04,1727.82
"Addison Post No. 7446, Veterans of Foreign Wars of the United States, Inc.",120905892,Addison,5,1573187.2,1444698.44,128488.76,503236,374747.24,128488.76,38547.29,32122.76,6424.53
ADDISON'S STEAKHOUSE LLC,160703335,McHenry,5,605531.19,560539.13,44992.06,221958,176966.09,44991.91,13498.04,11248.37,2249.67
"ADH1, INC.",170701852,La Salle County,4,1224301.27,1143951.95,80349.32,363080,282730.68,80349.32,24105.03,20087.51,4017.52
"ADI of Champaign, Inc.",120707531,Champaign,5,4189750.81,3833827.67,355923.14,1409987,1054025.91,355961.09,106788.98,88990.84,17798.14
"ADKINS & SON, INC.",160703671,Germantown Hills,5,1779753.9,1637887.43,141866.47,563197,421330.51,141866.49,42560.63,35467.22,7093.41
"ADRI'S GAMING BOUTIQUE, INC.",170701155,Roscoe,5,3952415.53,3599597.11,352818.42,1301139,948320.58,352818.42,105846.02,88205.03,17640.99
"ADVANCED AMUSEMENT SERVICE, L.L.C.",140700642,Lyons,5,3418151.79,3149763.22,268388.57,1137632,869243.43,268388.57,80517.14,67097.65,13419.49
"ADYA SHAKTI, INC.",150703482,Marseilles,4,2112126.87,1966079.47,146047.4,796707,650659.6,146047.4,43814.6,36512.15,7302.45
"AEFC, Inc.",120707313,Rockford,5,227504.21,206944.66,20559.55,74039,53479.45,20559.55,6167.92,5139.94,1027.98
"Aerie No. 437, Fraternal Order Of Eagles, Inc.",170800451,Springfield,5,287173.77,265051.87,22121.9,104083,81961.1,22121.9,6636.69,5530.57,1106.12
AERO ALEHOUSE BYRON LLC,170702742,Byron,5,933791.84,857995.05,75796.79,311984,236186.84,75797.16,22739.47,18949.58,3789.89
Aero Alehouse LLC,140704005,Loves Park,5,2716696.97,2516848.55,199848.42,889110,689261.73,199848.27,59955.02,49962.52,9992.5
AES RESTAURANT GROUP INC.,170702612,Champaign,5,3386739.85,3109712.63,277027.22,1221707,944675.7,277031.3,83109.72,69258.11,13851.61
AEVA CORP.,170702068,Crete,5,2630730.3,2437311.95,193418.35,889513,696074.68,193438.32,58032,48360.03,9671.97
"AF TRUCK CENTER, LLC",151002412,Northlake,5,5582972.94,5114196.3,468776.64,1693485,1224651.27,468833.73,140650.93,117209.14,23441.79
"After The Fox, Ltd.",120702020,McHenry,5,5565263.07,5109759.31,455503.76,1879058,1423554.08,455503.92,136651.71,113876.44,22775.27
AG ENTERTAINMENT INC,120700144,South Elgin,5,6284454.91,5780150.71,504304.2,2134485,1630180.6,504304.4,151291.97,126076.66,25215.31
Agim Mehmedi ,130702562,Salem,5,1650294.51,1526190.4,124104.11,554018,429913.8,124104.2,37231.91,31026.59,6205.32
"AGIOS.D.Z, INC.",170700491,Stickney,5,9973296.39,9135195.54,838100.85,2999828,2161679.08,838148.92,251445.45,209537.89,41907.56
"Agnandi, Inc.",130705107,Posen,5,6924305.01,6332566.48,591738.53,2063606,1471867.47,591738.53,177522.24,147935.23,29587.01
"AGR Group, LLC",120709064,Pekin,4,1210819.66,1130332.1,80487.56,356880,276393.34,80486.66,24146.36,20121.97,4024.39
"AGSEL INC.,",170703465,Jacksonville,5,986160.88,915436.31,70724.57,201225,130500.43,70724.57,21217.59,17681.34,3536.25
"Ahayn Management, Inc.",170700296,Grafton,5,1161263.06,1083388.38,77874.68,390473,312598.29,77874.71,23362.71,19468.92,3893.79
"Ahlstrand and Ahlstrand, Inc.",120704627,Rock Falls,5,3873686.69,3572266.89,301419.8,1249164,947744.2,301419.8,90426.37,75355.34,15071.03
